Date,HomeTeam,AwayTeam,FTHG,FTAG
1993-07-23,Nantes,Monaco,1,0
1993-07-24,Bordeaux,Paris SG,1,0
1993-07-24,Caen,Metz,1,1
1993-07-24,Toulouse,Le Havre,0,0
1993-07-24,Strasbourg,Auxerre,1,1
1993-07-24,St Etienne,Cannes,1,2
1993-07-24,Sochaux,Angers,4,1
1993-07-24,Marseille,Lens,1,0
1993-07-24,Lille,Martigues,1,1
1993-07-24,Montpellier,Lyon,1,1
1993-07-31,Metz,Angers,2,0
1993-07-31,Lyon,Caen,2,0
1993-07-31,Lens,Strasbourg,0,0
1993-07-31,Martigues,Sochaux,1,1
1993-07-31,Le Havre,Bordeaux,0,3
1993-07-31,Auxerre,Montpellier,3,1
1993-07-31,Paris SG,Lille,2,1
1993-07-31,Monaco,Toulouse,3,0
1993-07-31,Nantes,St Etienne,1,0
1993-08-01,Cannes,Marseille,2,1
1993-08-06,Lille,Lens,0,0
1993-08-07,Caen,Auxerre,1,0
1993-08-07,Strasbourg,Paris SG,2,2
1993-08-07,Montpellier,Martigues,1,0
1993-08-07,Sochaux,Metz,2,1
1993-08-07,St Etienne,Monaco,2,0
1993-08-07,Toulouse,Nantes,0,3
1993-08-07,Marseille,Le Havre,1,1
1993-08-07,Bayern Munich,Freiburg,3,1
1993-08-07,Dortmund,Karlsruhe,2,1
1993-08-07,Duisburg,Leverkusen,2,2
1993-08-07,FC Koln,Kaiserslautern,0,2
1993-08-07,Hamburg,Nurnberg,5,2
1993-08-07,Leipzig,Dresden,3,3
1993-08-07,M'Gladbach,Ein Frankfurt,0,4
1993-08-07,Wattenscheid,Schalke 04,3,0
1993-08-07,Werder Bremen,Stuttgart,5,1
1993-08-07,Bordeaux,Cannes,0,0
1993-08-07,Angers,Lyon,3,1
1993-08-10,Monaco,Bordeaux,3,2
1993-08-11,Lens,Montpellier,2,1
1993-08-11,Auxerre,Angers,0,0
1993-08-11,Cannes,Lille,2,1
1993-08-11,Le Havre,St Etienne,0,0
1993-08-11,Lyon,Metz,2,0
1993-08-11,Martigues,Caen,4,1
1993-08-11,Nantes,Marseille,0,0
1993-08-11,Paris SG,Sochaux,1,0
1993-08-11,Toulouse,Strasbourg,0,0
1993-08-14,Derby,Sunderland,5,0
1993-08-14,Crystal Palace,Tranmere,0,0
1993-08-14,Charlton,Birmingham,1,0
1993-08-14,Leicester,Peterboro,2,1
1993-08-14,Willem II,MVV Maastricht,1,0
1993-08-14,NAC Breda,Roda JC,2,3
1993-08-14,Karlsruhe,Hamburg,2,0
1993-08-14,Nurnberg,FC Koln,1,0
1993-08-14,Leverkusen,Bayern Munich,2,1
1993-08-14,Grimsby,Bolton,0,0
1993-08-14,Schalke 04,Dortmund,1,0
1993-08-14,Freiburg,Wattenscheid,4,1
1993-08-14,Ein Frankfurt,Werder Bremen,2,2
1993-08-14,Stuttgart,Leipzig,0,0
1993-08-14,Barnsley,West Brom,1,1
1993-08-14,Stoke,Millwall,1,2
1993-08-14,Notts County,Middlesbrough,2,3
1993-08-14,Heerenveen,Sparta,1,0
1993-08-14,Strasbourg,Cannes,2,2
1993-08-14,St Etienne,Toulouse,2,2
1993-08-14,Sochaux,Lyon,0,1
1993-08-14,Montpellier,Monaco,0,3
1993-08-14,Metz,Auxerre,0,0
1993-08-14,Luton,Watford,2,1
1993-08-14,Caen,Lens,1,0
1993-08-14,Angers,Martigues,1,3
1993-08-14,Lille,Le Havre,2,2
1993-08-14,Arsenal,Coventry,0,3
1993-08-14,Wolves,Bristol City,3,1
1993-08-14,Dresden,Duisburg,0,1
1993-08-14,Oxford,Portsmouth,3,2
1993-08-14,Bordeaux,Nantes,2,0
1993-08-14,Kaiserslautern,M'Gladbach,4,2
1993-08-14,Southampton,Everton,0,2
1993-08-14,Go Ahead Eagles,Vitesse,1,4
1993-08-14,Aston Villa,QPR,4,1
1993-08-14,Chelsea,Blackburn,1,2
1993-08-14,Liverpool,Sheffield Weds,2,0
1993-08-14,Man City,Leeds,1,1
1993-08-14,Newcastle,Tottenham,0,1
1993-08-14,Oldham,Ipswich,0,3
1993-08-14,Sheffield United,Swindon,3,1
1993-08-14,West Ham,Wimbledon,0,2
1993-08-15,Southend,Nott'm Forest,1,1
1993-08-15,Marseille,Paris SG,1,0
1993-08-15,Norwich,Man United,0,2
1993-08-15,Volendam,Utrecht,2,2
1993-08-15,Twente,VVV Venlo,3,0
1993-08-15,Groningen,PSV Eindhoven,1,2
1993-08-15,Feyenoord,Cambuur,1,0
1993-08-15,Ajax,Waalwijk,3,0
1993-08-16,Tottenham,Arsenal,0,1
1993-08-17,Wimbledon,Chelsea,1,1
1993-08-17,Leeds,West Ham,1,0
1993-08-17,Peterboro,Barnsley,4,1
1993-08-17,Portsmouth,Charlton,1,2
1993-08-17,Everton,Man City,1,0
1993-08-17,Ipswich,Southampton,1,0
1993-08-18,Swindon,Oldham,0,1
1993-08-18,QPR,Liverpool,1,3
1993-08-18,Nott'm Forest,Derby,1,1
1993-08-18,Blackburn,Norwich,2,3
1993-08-18,Coventry,Newcastle,2,1
1993-08-18,Man United,Sheffield United,3,0
1993-08-18,Sheffield Weds,Aston Villa,0,0
1993-08-20,Cambuur,NAC Breda,1,3
1993-08-21,Sheffield Weds,Arsenal,0,1
1993-08-21,Tottenham,Man City,1,0
1993-08-21,Coventry,West Ham,1,1
1993-08-21,Wimbledon,Aston Villa,2,2
1993-08-21,Ipswich,Chelsea,1,0
1993-08-21,Everton,Sheffield United,4,2
1993-08-21,Middlesbrough,Derby,3,0
1993-08-21,Blackburn,Oldham,1,0
1993-08-21,Peterboro,Notts County,1,1
1993-08-21,Bolton,Stoke,1,1
1993-08-21,Man United,Newcastle,1,1
1993-08-21,QPR,Southampton,2,1
1993-08-21,Bristol City,Crystal Palace,2,0
1993-08-21,PSV Eindhoven,Go Ahead Eagles,3,0
1993-08-21,Werder Bremen,Leipzig,3,1
1993-08-21,Wattenscheid,Leverkusen,1,2
1993-08-21,M'Gladbach,Nurnberg,2,0
1993-08-21,Hamburg,Schalke 04,4,1
1993-08-21,FC Koln,Karlsruhe,2,1
1993-08-21,Ein Frankfurt,Kaiserslautern,1,0
1993-08-21,Duisburg,Stuttgart,2,2
1993-08-21,Dortmund,Freiburg,3,2
1993-08-21,Bayern Munich,Dresden,5,0
1993-08-21,Nott'm Forest,Grimsby,5,3
1993-08-21,Leeds,Norwich,0,4
1993-08-21,Watford,Barnsley,0,2
1993-08-21,Tranmere,Leicester,1,0
1993-08-21,Portsmouth,Luton,1,0
1993-08-21,West Brom,Oxford,3,1
1993-08-21,Sunderland,Charlton,4,0
1993-08-22,Roda JC,Volendam,2,0
1993-08-22,Utrecht,Ajax,1,4
1993-08-22,Birmingham,Wolves,2,2
1993-08-22,Millwall,Southend,1,4
1993-08-22,Swindon,Liverpool,0,5
1993-08-22,Waalwijk,Twente,1,3
1993-08-22,Sparta,Willem II,1,0
1993-08-23,Aston Villa,Man United,1,2
1993-08-24,Arsenal,Leeds,2,1
1993-08-24,Man City,Blackburn,0,2
1993-08-24,Oldham,Coventry,3,3
1993-08-24,Sheffield United,Wimbledon,2,1
1993-08-24,Barnsley,Middlesbrough,1,4
1993-08-24,Charlton,Tranmere,3,1
1993-08-24,Crystal Palace,Nott'm Forest,2,0
1993-08-24,Grimsby,Portsmouth,1,1
1993-08-25,Feyenoord,Twente,1,0
1993-08-25,Go Ahead Eagles,Utrecht,4,0
1993-08-25,Groningen,Roda JC,3,5
1993-08-25,Heerenveen,PSV Eindhoven,0,0
1993-08-25,MVV Maastricht,Waalwijk,1,1
1993-08-25,NAC Breda,VVV Venlo,4,1
1993-08-25,Volendam,Cambuur,4,1
1993-08-25,Willem II,Vitesse,0,3
1993-08-25,Ajax,Sparta,3,0
1993-08-25,West Ham,Sheffield Weds,2,0
1993-08-25,Wolves,Millwall,2,0
1993-08-25,Southampton,Swindon,5,1
1993-08-25,Norwich,Ipswich,1,0
1993-08-25,Liverpool,Tottenham,1,2
1993-08-25,Chelsea,QPR,2,0
1993-08-25,Newcastle,Everton,1,0
1993-08-27,Man City,Coventry,1,1
1993-08-27,Monaco,Marseille,0,0
1993-08-28,Crystal Palace,Portsmouth,5,1
1993-08-28,VVV Venlo,Volendam,2,0
1993-08-28,Wolves,Middlesbrough,2,3
1993-08-28,Stoke,West Brom,1,0
1993-08-28,Oxford,Watford,2,3
1993-08-28,Notts County,Sunderland,1,0
1993-08-28,Charlton,Bolton,3,0
1993-08-28,Luton,Nott'm Forest,1,2
1993-08-28,Leicester,Millwall,4,0
1993-08-28,Barnsley,Birmingham,2,3
1993-08-28,Derby,Bristol City,1,0
1993-08-28,Southend,Peterboro,3,0
1993-08-28,Grimsby,Tranmere,0,0
1993-08-28,Schalke 04,FC Koln,1,2
1993-08-28,Cannes,Sochaux,1,1
1993-08-28,Lens,Angers,0,1
1993-08-28,Liverpool,Leeds,2,0
1993-08-28,Le Havre,Strasbourg,0,1
1993-08-28,Auxerre,Lyon,3,2
1993-08-28,Martigues,Metz,1,1
1993-08-28,Paris SG,Caen,2,0
1993-08-28,St Etienne,Bordeaux,0,0
1993-08-28,Kaiserslautern,Werder Bremen,2,3
1993-08-28,Karlsruhe,M'Gladbach,1,0
1993-08-28,Leipzig,Duisburg,1,1
1993-08-28,Nantes,Montpellier,0,0
1993-08-28,West Ham,QPR,0,4
1993-08-28,Sheffield United,Ipswich,1,1
1993-08-28,Southampton,Man United,1,3
1993-08-28,Oldham,Wimbledon,1,1
1993-08-28,Norwich,Swindon,0,0
1993-08-28,Chelsea,Sheffield Weds,1,1
1993-08-28,Aston Villa,Tottenham,1,0
1993-08-28,Arsenal,Everton,2,0
1993-08-28,Leverkusen,Dortmund,2,1
1993-08-28,Nurnberg,Ein Frankfurt,1,5
1993-08-28,Stuttgart,Bayern Munich,2,2
1993-08-28,Freiburg,Hamburg,0,1
1993-08-28,Dresden,Wattenscheid,1,1
1993-08-28,Toulouse,Lille,1,1
1993-08-29,Cambuur,Groningen,0,2
1993-08-29,Genoa,Roma,2,0
1993-08-29,Udinese,Parma,0,1
1993-08-29,Piacenza,Torino,0,3
1993-08-29,Napoli,Sampdoria,1,2
1993-08-29,Lecce,Milan,0,1
1993-08-29,Lazio,Foggia,0,0
1993-08-29,Juventus,Cremonese,1,0
1993-08-29,Inter,Reggiana,2,1
1993-08-29,Newcastle,Blackburn,1,1
1993-08-29,PSV Eindhoven,Willem II,2,1
1993-08-29,Roda JC,Go Ahead Eagles,2,1
1993-08-29,Sparta,MVV Maastricht,2,2
1993-08-29,Utrecht,Heerenveen,0,1
1993-08-29,Vitesse,Ajax,0,1
1993-08-29,Twente,NAC Breda,0,1
1993-08-29,Atalanta,Cagliari,5,2
1993-08-30,Leeds,Oldham,1,0
1993-08-31,Everton,Aston Villa,0,1
1993-08-31,Ipswich,Newcastle,1,1
1993-08-31,Wimbledon,Southampton,1,0
1993-08-31,Bordeaux,Toulouse,2,0
1993-08-31,Waalwijk,Feyenoord,1,2
1993-08-31,Birmingham,Crystal Palace,2,4
1993-08-31,Bolton,Oxford,1,0
1993-09-01,MVV Maastricht,Ajax,1,1
1993-09-01,Utrecht,Groningen,2,0
1993-09-01,M'Gladbach,Schalke 04,3,2
1993-09-01,Kaiserslautern,Nurnberg,3,1
1993-09-01,Hamburg,Leverkusen,2,1
1993-09-01,Ein Frankfurt,Karlsruhe,3,1
1993-09-01,Dortmund,Dresden,4,0
1993-09-01,Bayern Munich,Leipzig,3,0
1993-09-01,West Brom,Southend,2,2
1993-09-01,Man United,West Ham,3,0
1993-09-01,Werder Bremen,Duisburg,1,5
1993-09-01,FC Koln,Freiburg,2,0
1993-09-01,Angers,Paris SG,1,1
1993-09-01,Strasbourg,Monaco,1,1
1993-09-01,Sochaux,Auxerre,1,0
1993-09-01,Montpellier,Le Havre,2,1
1993-09-01,Metz,Lens,2,1
1993-09-01,Marseille,St Etienne,3,1
1993-09-01,Lyon,Martigues,0,0
1993-09-01,Lille,Nantes,0,0
1993-09-01,Caen,Cannes,1,1
1993-09-01,Swindon,Man City,1,3
1993-09-01,Wattenscheid,Stuttgart,2,4
1993-09-01,Sheffield Weds,Norwich,3,3
1993-09-01,QPR,Sheffield United,2,1
1993-09-01,Coventry,Liverpool,1,0
1993-09-01,Blackburn,Arsenal,1,1
1993-09-01,Tottenham,Chelsea,1,1
1993-09-04,Birmingham,Derby,3,0
1993-09-04,Dresden,Hamburg,1,1
1993-09-04,Duisburg,Bayern Munich,2,2
1993-09-04,Freiburg,M'Gladbach,3,3
1993-09-04,Karlsruhe,Kaiserslautern,1,1
1993-09-04,Leipzig,Wattenscheid,0,0
1993-09-04,Leverkusen,FC Koln,2,1
1993-09-04,Nurnberg,Werder Bremen,0,1
1993-09-04,Bristol City,Southend,2,1
1993-09-04,Peterboro,Grimsby,1,2
1993-09-04,Portsmouth,Stoke,3,3
1993-09-04,Tranmere,Notts County,3,1
1993-09-04,Watford,Charlton,2,2
1993-09-04,Schalke 04,Ein Frankfurt,1,3
1993-09-04,Go Ahead Eagles,Cambuur,3,0
1993-09-04,Heerenveen,Roda JC,0,0
1993-09-04,MVV Maastricht,Vitesse,0,2
1993-09-04,Willem II,Utrecht,4,1
1993-09-04,Millwall,Barnsley,2,0
1993-09-04,Stuttgart,Dortmund,2,2
1993-09-05,Parma,Lecce,1,0
1993-09-05,NAC Breda,Feyenoord,1,2
1993-09-05,Sparta,Waalwijk,1,1
1993-09-05,Volendam,Twente,2,5
1993-09-05,Ajax,PSV Eindhoven,2,0
1993-09-05,West Brom,Wolves,3,2
1993-09-05,Milan,Genoa,1,0
1993-09-05,Cagliari,Udinese,1,2
1993-09-05,Cremonese,Napoli,2,0
1993-09-05,Foggia,Inter,1,1
1993-09-05,Reggiana,Lazio,0,0
1993-09-05,Torino,Atalanta,2,1
1993-09-05,Sampdoria,Piacenza,2,1
1993-09-05,Groningen,VVV Venlo,0,3
1993-09-05,Roma,Juventus,2,1
1993-09-05,Ath Bilbao,Albacete,4,1
1993-09-05,Zaragoza,Sevilla,1,2
1993-09-05,Oviedo,Valencia,0,3
1993-09-05,Barcelona,Sociedad,3,0
1993-09-05,La Coruna,Celta,0,0
1993-09-05,Valladolid,Sp Gijon,0,1
1993-09-05,Ath Madrid,Logrones,1,0
1993-09-05,Santander,Vallecano,1,0
1993-09-05,Tenerife,Lerida,1,0
1993-09-05,Osasuna,Real Madrid,1,4
1993-09-07,Watford,Wolves,1,0
1993-09-08,Waalwijk,NAC Breda,1,0
1993-09-08,VVV Venlo,Go Ahead Eagles,1,0
1993-09-08,Udinese,Roma,0,0
1993-09-08,Piacenza,Milan,0,0
1993-09-08,Napoli,Torino,0,0
1993-09-08,Lecce,Foggia,0,2
1993-09-08,Inter,Cremonese,2,1
1993-09-08,Juventus,Sampdoria,3,1
1993-09-08,Genoa,Cagliari,1,1
1993-09-08,Roda JC,Willem II,1,1
1993-09-08,Cambuur,Heerenveen,1,2
1993-09-08,Feyenoord,Volendam,2,0
1993-09-08,PSV Eindhoven,MVV Maastricht,4,2
1993-09-08,Lazio,Parma,2,1
1993-09-08,Atalanta,Reggiana,2,1
1993-09-08,Vitesse,Sparta,2,0
1993-09-08,Werder Bremen,Bayern Munich,1,0
1993-09-08,Wattenscheid,Duisburg,0,2
1993-09-08,Dortmund,Leipzig,0,1
1993-09-08,Ein Frankfurt,Freiburg,3,0
1993-09-08,FC Koln,Dresden,0,1
1993-09-08,Hamburg,Stuttgart,3,2
1993-09-08,Kaiserslautern,Schalke 04,0,0
1993-09-08,M'Gladbach,Leverkusen,2,2
1993-09-08,Nurnberg,Karlsruhe,1,1
1993-09-10,Le Havre,Caen,1,2
1993-09-11,Toulouse,Marseille,0,0
1993-09-11,Wolves,Portsmouth,1,1
1993-09-11,Southend,Middlesbrough,1,0
1993-09-11,Oxford,Bristol City,4,2
1993-09-11,Grimsby,Watford,2,2
1993-09-11,Luton,Bolton,0,2
1993-09-11,Derby,Peterboro,2,0
1993-09-11,Barnsley,Nott'm Forest,1,0
1993-09-11,Notts County,West Brom,1,0
1993-09-11,Charlton,Millwall,0,0
1993-09-11,Stoke,Tranmere,1,2
1993-09-11,St Etienne,Sochaux,0,0
1993-09-11,Bordeaux,Metz,2,0
1993-09-11,Lens,Lyon,2,0
1993-09-11,Paris SG,Montpellier,1,0
1993-09-11,West Ham,Swindon,0,0
1993-09-11,Southampton,Leeds,0,2
1993-09-11,Sheffield United,Tottenham,2,2
1993-09-11,Oldham,Everton,0,1
1993-09-11,Norwich,Wimbledon,0,1
1993-09-11,Man City,QPR,3,0
1993-09-11,Nantes,Strasbourg,2,2
1993-09-11,Cannes,Angers,4,3
1993-09-11,Aston Villa,Coventry,0,0
1993-09-11,MVV Maastricht,Utrecht,2,1
1993-09-11,Willem II,Cambuur,4,1
1993-09-11,Sparta,PSV Eindhoven,0,0
1993-09-11,Heerenveen,VVV Venlo,1,0
1993-09-11,Monaco,Lille,1,0
1993-09-11,Martigues,Auxerre,0,1
1993-09-11,Arsenal,Ipswich,4,0
1993-09-11,Chelsea,Man United,1,0
1993-09-12,Go Ahead Eagles,Twente,3,3
1993-09-12,Ajax,Roda JC,2,0
1993-09-12,Groningen,Feyenoord,0,4
1993-09-12,Milan,Atalanta,2,0
1993-09-12,Reggiana,Piacenza,1,1
1993-09-12,Roma,Napoli,2,3
1993-09-12,Torino,Udinese,1,0
1993-09-12,Parma,Genoa,2,1
1993-09-12,Vitesse,Waalwijk,4,1
1993-09-12,Foggia,Juventus,1,1
1993-09-12,Cagliari,Inter,1,0
1993-09-12,Liverpool,Blackburn,0,1
1993-09-12,Sampdoria,Lecce,2,1
1993-09-12,Volendam,NAC Breda,1,3
1993-09-12,Cremonese,Lazio,1,0
1993-09-12,Celta,Oviedo,1,1
1993-09-12,Real Madrid,Valladolid,1,3
1993-09-12,Albacete,Barcelona,0,0
1993-09-12,Lerida,Ath Bilbao,1,2
1993-09-12,Logrones,Santander,0,1
1993-09-12,Sp Gijon,La Coruna,0,2
1993-09-12,Sevilla,Osasuna,1,1
1993-09-12,Valencia,Ath Madrid,2,2
1993-09-12,Vallecano,Tenerife,4,3
1993-09-12,Sociedad,Zaragoza,2,2
1993-09-12,Leicester,Birmingham,1,1
1993-09-12,Crystal Palace,Sunderland,1,0
1993-09-13,Newcastle,Sheffield Weds,4,2
1993-09-14,Middlesbrough,Stoke,1,2
1993-09-14,Tranmere,Luton,4,1
1993-09-14,Bristol City,Leicester,1,3
1993-09-18,Peterboro,Oxford,3,1
1993-09-18,Tranmere,Barnsley,0,3
1993-09-18,Watford,Notts County,3,1
1993-09-18,Birmingham,Grimsby,1,1
1993-09-18,Everton,Liverpool,2,0
1993-09-18,Sunderland,Wolves,0,2
1993-09-18,Ipswich,Aston Villa,1,2
1993-09-18,Portsmouth,Southend,2,1
1993-09-18,Middlesbrough,Luton,0,0
1993-09-18,QPR,Norwich,2,2
1993-09-18,Bolton,Leicester,1,2
1993-09-18,Millwall,Derby,0,0
1993-09-18,Blackburn,West Ham,0,2
1993-09-18,Leeds,Sheffield United,2,1
1993-09-18,Swindon,Newcastle,2,2
1993-09-18,West Brom,Crystal Palace,1,4
1993-09-18,Tottenham,Oldham,5,0
1993-09-18,Sheffield Weds,Southampton,2,0
1993-09-18,Bristol City,Charlton,0,0
1993-09-18,Coventry,Chelsea,1,1
1993-09-18,Marseille,Bordeaux,3,1
1993-09-18,Freiburg,Kaiserslautern,2,3
1993-09-18,Leipzig,Hamburg,1,4
1993-09-18,Auxerre,Lens,1,0
1993-09-18,Duisburg,Dortmund,2,2
1993-09-18,Karlsruhe,Werder Bremen,0,3
1993-09-18,Strasbourg,Martigues,3,0
1993-09-18,Sochaux,Monaco,2,0
1993-09-18,Schalke 04,Nurnberg,1,2
1993-09-18,Montpellier,Cannes,2,1
1993-09-18,Lyon,Paris SG,1,3
1993-09-18,Lille,St Etienne,0,2
1993-09-18,Caen,Toulouse,1,0
1993-09-18,Stuttgart,FC Koln,1,1
1993-09-18,Bayern Munich,Wattenscheid,3,3
1993-09-18,Dresden,M'Gladbach,2,1
1993-09-18,Metz,Le Havre,2,0
1993-09-18,Leverkusen,Ein Frankfurt,2,2
1993-09-19,Piacenza,Lecce,2,1
1993-09-19,Atalanta,Cremonese,0,0
1993-09-19,Genoa,Napoli,0,0
1993-09-19,Lazio,Inter,0,0
1993-09-19,Milan,Roma,2,0
1993-09-19,Parma,Torino,3,0
1993-09-19,Juventus,Reggiana,4,0
1993-09-19,Foggia,Cagliari,0,1
1993-09-19,Ath Madrid,Celta,3,2
1993-09-19,La Coruna,Real Madrid,4,0
1993-09-19,Lerida,Vallecano,0,1
1993-09-19,Osasuna,Sociedad,0,2
1993-09-19,Oviedo,Sp Gijon,0,1
1993-09-19,Santander,Valencia,0,1
1993-09-19,Valladolid,Sevilla,2,2
1993-09-19,Tenerife,Logrones,2,0
1993-09-19,Man United,Arsenal,1,0
1993-09-19,Zaragoza,Albacete,1,1
1993-09-19,Angers,Nantes,0,0
1993-09-19,Ath Bilbao,Barcelona,0,0
1993-09-19,Udinese,Sampdoria,0,2
1993-09-19,Nott'm Forest,Stoke,2,3
1993-09-19,Vitesse,Heerenveen,3,0
1993-09-19,Twente,Groningen,0,1
1993-09-20,Wimbledon,Man City,1,0
1993-09-23,Paris SG,Auxerre,4,0
1993-09-24,Bordeaux,Lille,2,1
1993-09-24,Cannes,Lyon,1,0
1993-09-24,Le Havre,Sochaux,0,0
1993-09-24,Nantes,Caen,1,0
1993-09-24,Marseille,Metz,0,3
1993-09-24,Monaco,Angers,3,0
1993-09-24,St Etienne,Strasbourg,0,0
1993-09-24,Toulouse,Montpellier,0,0
1993-09-24,Lens,Martigues,1,1
1993-09-25,Stoke,Southend,0,1
1993-09-25,Tranmere,Oxford,2,0
1993-09-25,Portsmouth,Bristol City,0,0
1993-09-25,Utrecht,Sparta,3,1
1993-09-25,Sheffield United,Man City,0,1
1993-09-25,Chelsea,Liverpool,1,0
1993-09-25,Man United,Swindon,4,2
1993-09-25,Everton,Norwich,1,5
1993-09-25,Coventry,Leeds,0,2
1993-09-25,Notts County,Derby,4,1
1993-09-25,Blackburn,Sheffield Weds,1,1
1993-09-25,Arsenal,Southampton,1,0
1993-09-25,Oldham,Aston Villa,1,1
1993-09-25,Watford,Sunderland,1,1
1993-09-25,Newcastle,West Ham,2,0
1993-09-25,Grimsby,Wolves,2,0
1993-09-25,Peterboro,Millwall,0,0
1993-09-25,West Brom,Middlesbrough,1,1
1993-09-25,Birmingham,Luton,1,1
1993-09-25,Kaiserslautern,Leverkusen,3,2
1993-09-25,Werder Bremen,Wattenscheid,0,0
1993-09-25,Karlsruhe,Schalke 04,0,0
1993-09-25,FC Koln,Leipzig,3,1
1993-09-25,M'Gladbach,Stuttgart,0,2
1993-09-25,Hamburg,Duisburg,0,1
1993-09-25,Barnsley,Leicester,0,1
1993-09-25,Nurnberg,Freiburg,2,2
1993-09-25,Ein Frankfurt,Dresden,3,2
1993-09-25,Dortmund,Bayern Munich,1,1
1993-09-26,Roma,Atalanta,2,1
1993-09-26,Torino,Genoa,2,0
1993-09-26,Celta,Santander,0,0
1993-09-26,Napoli,Udinese,2,1
1993-09-26,Ipswich,Tottenham,2,2
1993-09-26,Twente,Heerenveen,2,1
1993-09-26,Waalwijk,Volendam,1,3
1993-09-26,Charlton,Crystal Palace,0,0
1993-09-26,Bolton,Nott'm Forest,4,3
1993-09-26,Roda JC,MVV Maastricht,4,1
1993-09-26,Reggiana,Foggia,0,0
1993-09-26,Inter,Piacenza,2,0
1993-09-26,Sampdoria,Parma,1,1
1993-09-26,Cagliari,Lazio,4,1
1993-09-26,Logrones,Lerida,2,1
1993-09-26,Real Madrid,Oviedo,0,1
1993-09-26,Cremonese,Milan,0,2
1993-09-26,Sevilla,La Coruna,0,0
1993-09-26,Sociedad,Valladolid,1,0
1993-09-26,Sp Gijon,Ath Madrid,1,1
1993-09-26,Valencia,Tenerife,3,2
1993-09-26,Barcelona,Zaragoza,4,1
1993-09-26,Vallecano,Ath Bilbao,1,2
1993-09-26,Albacete,Osasuna,2,1
1993-09-26,Feyenoord,Go Ahead Eagles,1,0
1993-09-26,NAC Breda,Groningen,2,1
1993-09-26,Lecce,Juventus,1,1
1993-09-27,Wimbledon,QPR,1,1
1993-09-28,Sunderland,Grimsby,2,2
1993-09-29,Middlesbrough,Leicester,2,0
1993-10-02,Sochaux,Lens,1,1
1993-10-02,Montpellier,St Etienne,3,0
1993-10-02,Metz,Cannes,0,0
1993-10-02,Martigues,Paris SG,1,1
1993-10-02,Lille,Marseille,1,2
1993-10-02,Caen,Monaco,0,1
1993-10-02,Angers,Le Havre,0,0
1993-10-02,Auxerre,Toulouse,5,1
1993-10-02,PSV Eindhoven,Waalwijk,1,1
1993-10-02,Go Ahead Eagles,NAC Breda,0,0
1993-10-02,MVV Maastricht,Cambuur,0,0
1993-10-02,Strasbourg,Bordeaux,0,2
1993-10-02,Willem II,Twente,2,0
1993-10-02,Wolves,Charlton,1,1
1993-10-02,Wattenscheid,Dortmund,1,2
1993-10-02,Oxford,Grimsby,2,2
1993-10-02,Stuttgart,Ein Frankfurt,0,2
1993-10-02,Schalke 04,Werder Bremen,1,1
1993-10-02,Leverkusen,Nurnberg,4,0
1993-10-02,Leipzig,M'Gladbach,1,1
1993-10-02,Freiburg,Karlsruhe,3,3
1993-10-02,Duisburg,FC Koln,0,0
1993-10-02,Dresden,Kaiserslautern,3,1
1993-10-02,Bayern Munich,Hamburg,4,0
1993-10-02,Sunderland,Peterboro,2,0
1993-10-02,West Ham,Chelsea,1,0
1993-10-02,Southampton,Sheffield United,3,3
1993-10-02,Swindon,Blackburn,1,3
1993-10-02,Leeds,Wimbledon,4,0
1993-10-02,Liverpool,Arsenal,0,0
1993-10-02,Norwich,Coventry,1,0
1993-10-02,QPR,Ipswich,3,0
1993-10-02,Sheffield Weds,Man United,2,3
1993-10-02,Aston Villa,Newcastle,0,2
1993-10-02,Bristol City,Bolton,2,0
1993-10-02,Crystal Palace,Stoke,4,1
1993-10-02,Leicester,Notts County,3,2
1993-10-02,Luton,Barnsley,5,0
1993-10-02,Middlesbrough,Birmingham,2,2
1993-10-02,Millwall,Watford,4,1
1993-10-02,Nott'm Forest,Portsmouth,1,1
1993-10-02,Southend,Tranmere,1,2
1993-10-03,Derby,West Brom,5,3
1993-10-03,Tenerife,Celta,0,0
1993-10-03,Parma,Foggia,3,0
1993-10-03,Vitesse,Utrecht,2,2
1993-10-03,Tottenham,Everton,3,2
1993-10-03,Atalanta,Sampdoria,1,4
1993-10-03,Roma,Cremonese,1,2
1993-10-03,Juventus,Torino,3,2
1993-10-03,Milan,Lazio,0,0
1993-10-03,Osasuna,Barcelona,2,3
1993-10-03,Lerida,Valencia,1,1
1993-10-03,Ath Bilbao,Zaragoza,2,1
1993-10-03,Piacenza,Cagliari,1,1
1993-10-03,Santander,Sp Gijon,2,0
1993-10-03,La Coruna,Sociedad,0,1
1993-10-03,Valladolid,Albacete,1,0
1993-10-03,Oviedo,Sevilla,0,2
1993-10-03,Genoa,Reggiana,0,0
1993-10-03,Lyon,Nantes,2,1
1993-10-03,Ajax,VVV Venlo,2,0
1993-10-03,Sparta,Roda JC,2,0
1993-10-03,Udinese,Lecce,2,1
1993-10-03,Vallecano,Logrones,3,1
1993-10-03,Ath Madrid,Real Madrid,0,0
1993-10-03,Napoli,Inter,0,0
1993-10-04,Heerenveen,Feyenoord,1,3
1993-10-04,Man City,Oldham,1,1
1993-10-05,Bordeaux,Montpellier,1,1
1993-10-05,Luton,Bristol City,0,2
1993-10-06,Zaragoza,Osasuna,2,1
1993-10-06,Sp Gijon,Tenerife,1,2
1993-10-06,Albacete,La Coruna,0,0
